edge_type_id target_query source_query weight_function delay dynamics_params syn_weight model_template
222 node_type_id=='487594856' * weight_function_bkg 1.0 exc_to_pv.json 3.2695254225500004e-18 static_synapse
223 node_type_id=='488440436' * weight_function_bkg 1.0 exc_to_pv.json 3.2695254225500004e-18 static_synapse
224 node_type_id=='515305346' * weight_function_bkg 1.0 exc_to_pv.json 3.2695254225500004e-18 static_synapse
225 node_type_id=='313862134' * weight_function_bkg 1.0 exc_to_sst.json 1.757218084128 static_synapse
226 node_type_id=='328015342' * weight_function_bkg 1.0 exc_to_sst.json 1.757218084128 static_synapse
227 node_type_id=='328031983' * weight_function_bkg 1.0 exc_to_sst.json 1.757218084128 static_synapse
228 node_type_id=='329224678' * weight_function_bkg 1.0 exc_to_sst.json 1.757218084128 static_synapse
229 node_type_id=='329254830' * weight_function_bkg 1.0 exc_to_sst.json 1.757218084128 static_synapse
230 node_type_id=='464212183' * weight_function_bkg 1.0 exc_to_sst.json 1.757218084128 static_synapse
231 node_type_id=='473011949' * weight_function_bkg 1.0 exc_to_sst.json 1.757218084128 static_synapse
232 node_type_id=='473593847' * weight_function_bkg 1.0 exc_to_sst.json 1.757218084128 static_synapse
233 node_type_id=='475057898' * weight_function_bkg 1.0 exc_to_sst.json 1.757218084128 static_synapse
234 node_type_id=='475542907' * weight_function_bkg 1.0 exc_to_sst.json 1.757218084128 static_synapse
235 node_type_id=='475580568' * weight_function_bkg 1.0 exc_to_sst.json 1.757218084128 static_synapse
236 node_type_id=='482690728' * weight_function_bkg 1.0 exc_to_sst.json 1.757218084128 static_synapse
237 node_type_id=='485058595' * weight_function_bkg 1.0 exc_to_sst.json 1.757218084128 static_synapse
238 node_type_id=='485455285' * weight_function_bkg 1.0 exc_to_sst.json 1.757218084128 static_synapse
239 node_type_id=='486352114' * weight_function_bkg 1.0 exc_to_sst.json 1.757218084128 static_synapse
240 node_type_id=='490173806' * weight_function_bkg 1.0 exc_to_sst.json 1.757218084128 static_synapse
241 node_type_id=='491029832' * weight_function_bkg 1.0 exc_to_sst.json 1.757218084128 static_synapse
242 node_type_id=='491030723' * weight_function_bkg 1.0 exc_to_sst.json 1.757218084128 static_synapse
243 node_type_id=='497560724' * weight_function_bkg 1.0 exc_to_sst.json 1.757218084128 static_synapse
244 node_type_id=='501730497' * weight_function_bkg 1.0 exc_to_sst.json 1.757218084128 static_synapse
245 node_type_id=='526785742' * weight_function_bkg 1.0 exc_to_sst.json 1.757218084128 static_synapse
246 node_type_id=='575637715' * weight_function_bkg 1.0 exc_to_sst.json 1.757218084128 static_synapse
247 node_type_id=='466632464' * weight_function_bkg 1.0 exc_to_e6.json 6.552053732565 static_synapse
248 node_type_id=='471789504' * weight_function_bkg 1.0 exc_to_e6.json 6.552053732565 static_synapse
249 node_type_id=='471800189' * weight_function_bkg 1.0 exc_to_e6.json 6.552053732565 static_synapse
250 node_type_id=='471819401' * weight_function_bkg 1.0 exc_to_e6.json 6.552053732565 static_synapse
251 node_type_id=='485287944' * weight_function_bkg 1.0 exc_to_e6.json 6.552053732565 static_synapse
252 node_type_id=='485905411' * weight_function_bkg 1.0 exc_to_e6.json 6.552053732565 static_synapse
253 node_type_id=='485938494' * weight_function_bkg 1.0 exc_to_e6.json 6.552053732565 static_synapse
254 node_type_id=='488426904' * weight_function_bkg 1.0 exc_to_e6.json 6.552053732565 static_synapse
255 node_type_id=='488430487' * weight_function_bkg 1.0 exc_to_e6.json 6.552053732565 static_synapse
256 node_type_id=='488432250' * weight_function_bkg 1.0 exc_to_e6.json 6.552053732565 static_synapse
257 node_type_id=='488448839' * weight_function_bkg 1.0 exc_to_e6.json 6.552053732565 static_synapse
258 node_type_id=='488676149' * weight_function_bkg 1.0 exc_to_e6.json 6.552053732565 static_synapse
259 node_type_id=='490259231' * weight_function_bkg 1.0 exc_to_e6.json 6.552053732565 static_synapse
260 node_type_id=='490264167' * weight_function_bkg 1.0 exc_to_e6.json 6.552053732565 static_synapse
261 node_type_id=='490485142' * weight_function_bkg 1.0 exc_to_e6.json 6.552053732565 static_synapse
262 node_type_id=='490718897' * weight_function_bkg 1.0 exc_to_e6.json 6.552053732565 static_synapse
263 node_type_id=='501562903' * weight_function_bkg 1.0 exc_to_e6.json 6.552053732565 static_synapse
264 node_type_id=='501566512' * weight_function_bkg 1.0 exc_to_e6.json 6.552053732565 static_synapse
265 node_type_id=='503286448' * weight_function_bkg 1.0 exc_to_e6.json 6.552053732565 static_synapse
266 node_type_id=='503814817' * weight_function_bkg 1.0 exc_to_e6.json 6.552053732565 static_synapse
267 node_type_id=='507914933' * weight_function_bkg 1.0 exc_to_e6.json 6.552053732565 static_synapse
268 node_type_id=='508980706' * weight_function_bkg 1.0 exc_to_e6.json 6.552053732565 static_synapse
269 node_type_id=='539742766' * weight_function_bkg 1.0 exc_to_e6.json 6.552053732565 static_synapse
270 node_type_id=='565880475' * weight_function_bkg 1.0 exc_to_vip.json 2.632469083272 static_synapse
271 node_type_id=='582917630' * weight_function_bkg 1.0 exc_to_vip.json 2.632469083272 static_synapse
272 node_type_id=='585080288' * weight_function_bkg 1.0 exc_to_vip.json 2.632469083272 static_synapse
273 node_type_id=='592816620' * weight_function_bkg 1.0 exc_to_vip.json 2.632469083272 static_synapse
274 node_type_id=='471087830' * weight_function_bkg 1.0 exc_to_pv.json 1.91467447012e-20 static_synapse
275 node_type_id=='478058328' * weight_function_bkg 1.0 exc_to_pv.json 1.91467447012e-20 static_synapse
276 node_type_id=='571396942' * weight_function_bkg 1.0 exc_to_pv.json 1.91467447012e-20 static_synapse
277 node_type_id=='581404810' * weight_function_bkg 1.0 exc_to_pv.json 1.91467447012e-20 static_synapse
278 node_type_id=='473564515' * weight_function_bkg 1.0 exc_to_sst.json 3.15562589751 static_synapse
279 node_type_id=='475512108' * weight_function_bkg 1.0 exc_to_sst.json 3.15562589751 static_synapse
280 node_type_id=='476104386' * weight_function_bkg 1.0 exc_to_sst.json 3.15562589751 static_synapse
281 node_type_id=='502382506' * weight_function_bkg 1.0 exc_to_sst.json 3.15562589751 static_synapse
282 node_type_id=='534141324' * weight_function_bkg 1.0 exc_to_sst.json 3.15562589751 static_synapse
283 node_type_id=='547325858' * weight_function_bkg 1.0 exc_to_sst.json 3.15562589751 static_synapse
