edge_type_id target_query source_query dynamics_params model_template weight_function delay syn_weight
228 node_type_id=='497560724' * exc_to_sst.json static_synapse weight_function_bkg 1.0 1.757218084128
229 node_type_id=='501730497' * exc_to_sst.json static_synapse weight_function_bkg 1.0 1.757218084128
230 node_type_id=='526785742' * exc_to_sst.json static_synapse weight_function_bkg 1.0 1.757218084128
231 node_type_id=='575637715' * exc_to_sst.json static_synapse weight_function_bkg 1.0 1.757218084128
232 node_type_id=='466632464' * exc_to_e6.json static_synapse weight_function_bkg 1.0 6.552053732565
233 node_type_id=='471789504' * exc_to_e6.json static_synapse weight_function_bkg 1.0 6.552053732565
234 node_type_id=='471800189' * exc_to_e6.json static_synapse weight_function_bkg 1.0 6.552053732565
235 node_type_id=='471819401' * exc_to_e6.json static_synapse weight_function_bkg 1.0 6.552053732565
236 node_type_id=='485287944' * exc_to_e6.json static_synapse weight_function_bkg 1.0 6.552053732565
237 node_type_id=='485905411' * exc_to_e6.json static_synapse weight_function_bkg 1.0 6.552053732565
238 node_type_id=='485938494' * exc_to_e6.json static_synapse weight_function_bkg 1.0 6.552053732565
239 node_type_id=='488426904' * exc_to_e6.json static_synapse weight_function_bkg 1.0 6.552053732565
240 node_type_id=='488430487' * exc_to_e6.json static_synapse weight_function_bkg 1.0 6.552053732565
241 node_type_id=='488432250' * exc_to_e6.json static_synapse weight_function_bkg 1.0 6.552053732565
242 node_type_id=='488448839' * exc_to_e6.json static_synapse weight_function_bkg 1.0 6.552053732565
243 node_type_id=='488676149' * exc_to_e6.json static_synapse weight_function_bkg 1.0 6.552053732565
244 node_type_id=='490259231' * exc_to_e6.json static_synapse weight_function_bkg 1.0 6.552053732565
245 node_type_id=='490264167' * exc_to_e6.json static_synapse weight_function_bkg 1.0 6.552053732565
246 node_type_id=='490485142' * exc_to_e6.json static_synapse weight_function_bkg 1.0 6.552053732565
247 node_type_id=='490718897' * exc_to_e6.json static_synapse weight_function_bkg 1.0 6.552053732565
248 node_type_id=='501562903' * exc_to_e6.json static_synapse weight_function_bkg 1.0 6.552053732565
249 node_type_id=='501566512' * exc_to_e6.json static_synapse weight_function_bkg 1.0 6.552053732565
250 node_type_id=='503286448' * exc_to_e6.json static_synapse weight_function_bkg 1.0 6.552053732565
251 node_type_id=='503814817' * exc_to_e6.json static_synapse weight_function_bkg 1.0 6.552053732565
252 node_type_id=='507914933' * exc_to_e6.json static_synapse weight_function_bkg 1.0 6.552053732565
253 node_type_id=='508980706' * exc_to_e6.json static_synapse weight_function_bkg 1.0 6.552053732565
254 node_type_id=='539742766' * exc_to_e6.json static_synapse weight_function_bkg 1.0 6.552053732565
255 node_type_id=='565880475' * exc_to_vip.json static_synapse weight_function_bkg 1.0 2.632469083272
256 node_type_id=='582917630' * exc_to_vip.json static_synapse weight_function_bkg 1.0 2.632469083272
257 node_type_id=='585080288' * exc_to_vip.json static_synapse weight_function_bkg 1.0 2.632469083272
258 node_type_id=='592816620' * exc_to_vip.json static_synapse weight_function_bkg 1.0 2.632469083272
259 node_type_id=='471087830' * exc_to_pv.json static_synapse weight_function_bkg 1.0 1.91467447012e-20
260 node_type_id=='478058328' * exc_to_pv.json static_synapse weight_function_bkg 1.0 1.91467447012e-20
261 node_type_id=='571396942' * exc_to_pv.json static_synapse weight_function_bkg 1.0 1.91467447012e-20
262 node_type_id=='581404810' * exc_to_pv.json static_synapse weight_function_bkg 1.0 1.91467447012e-20
263 node_type_id=='473564515' * exc_to_sst.json static_synapse weight_function_bkg 1.0 3.15562589751
264 node_type_id=='475512108' * exc_to_sst.json static_synapse weight_function_bkg 1.0 3.15562589751
265 node_type_id=='476104386' * exc_to_sst.json static_synapse weight_function_bkg 1.0 3.15562589751
266 node_type_id=='502382506' * exc_to_sst.json static_synapse weight_function_bkg 1.0 3.15562589751
267 node_type_id=='534141324' * exc_to_sst.json static_synapse weight_function_bkg 1.0 3.15562589751
268 node_type_id=='547325858' * exc_to_sst.json static_synapse weight_function_bkg 1.0 3.15562589751
